species,age,weight,affection,appetite,vaccinated,injury,wound,overall_health
Rabbit,4,48.68,4.8,8.7,0,1,0,30.7534
Rabbit,2,43.69,7.2,2.8,0,1,1,4.1484
Rabbit,11,11.05,4.8,7.0,1,1,1,43.5523
Dog,3,49.43,3.9,3.9,1,1,1,42.7768
Cat,14,31.85,6.0,7.4,1,1,0,4.7105
Cow,15,14.88,8.1,2.0,1,0,0,68.8918
Rabbit,14,1.63,7.9,4.0,1,0,1,29.7803
Cow,3,16.98,3.0,8.9,0,0,1,11.1486
Cow,1,17.0,7.4,5.1,0,0,0,43.4389
Cow,9,34.58,1.0,1.2,1,1,1,16.6121
Dog,9,18.2,1.9,1.0,0,0,1,45.3975
Dog,6,21.91,7.0,7.4,0,1,0,11.6617
Dog,3,10.32,4.0,5.6,1,1,1,41.9819
Rabbit,8,18.32,3.6,2.7,1,0,1,20.0107
Cat,10,46.58,2.9,8.0,1,0,0,53.3988
Dog,8,14.58,7.4,8.8,1,1,0,15.0861
Dog,15,13.59,7.2,8.8,0,1,0,1.3216
Rabbit,8,35.15,6.0,4.9,0,1,0,43.3171
Dog,6,40.15,1.0,6.4,0,1,1,18.15
Rabbit,10,18.6,7.5,5.1,1,0,1,24.4513
Cat,2,10.06,8.1,6.0,0,1,0,19.3218
Cat,13,1.51,5.7,8.7,1,0,0,50.414
Dog,9,47.23,2.2,6.8,1,0,1,12.1525
Cat,3,2.12,2.8,8.6,0,1,1,6.5444
Cat,5,10.02,2.1,4.4,0,0,0,37.1415
Cow,4,32.07,5.5,7.2,0,1,0,11.4077
Dog,11,36.96,1.2,9.8,1,0,1,2.3106
Cow,10,28.03,6.8,2.1,0,1,0,30.1194
Cow,13,25.52,4.9,8.2,1,1,0,29.3449
Cow,3,4.59,4.2,4.4,0,0,1,43.5679
Cat,8,2.81,5.2,6.5,1,1,1,17.0344
Rabbit,8,18.42,9.9,7.5,1,0,0,62.5068
Rabbit,6,1.67,1.4,4.2,1,1,0,40.7097
Cow,4,24.78,4.6,4.8,0,0,1,8.2117
Rabbit,14,8.95,5.9,2.9,0,1,0,19.0455
Cow,15,28.33,8.1,7.0,0,1,1,13.9146
Rabbit,15,4.32,9.4,4.3,0,0,0,34.6362
Cow,11,16.77,5.9,3.7,1,0,0,73.3165
Rabbit,1,17.05,9.2,8.9,0,1,1,32.675
Cow,1,49.16,9.7,7.6,1,0,0,59.9639
Rabbit,2,42.15,6.2,4.9,1,0,1,45.3585
Dog,4,38.29,6.2,5.1,0,0,1,30.9777
Cat,1,11.39,7.4,8.4,0,1,1,9.7705
Cow,11,7.86,7.4,1.4,1,0,0,97.8067
Cow,2,41.82,8.4,7.1,0,0,1,36.4417
Dog,11,36.51,9.4,6.9,1,1,1,13.7693
Cow,8,24.21,9.0,5.8,0,1,1,4.9374
Cat,1,15.9,5.3,8.3,1,1,1,41.0073
Rabbit,1,9.2,2.5,1.1,1,0,0,79.8807
Cow,10,20.73,2.8,7.6,0,0,0,7.4482
Cat,12,6.9,7.1,6.0,0,0,1,42.7743
Rabbit,9,24.49,7.3,9.5,0,0,1,3.6207
Cow,5,34.59,7.1,6.5,1,0,1,32.5821
Cat,4,7.22,7.2,1.4,1,0,1,19.6302
Rabbit,8,40.68,4.1,7.6,0,1,1,7.79
Rabbit,7,29.69,5.3,9.1,0,0,0,46.5589
Rabbit,2,31.33,5.7,8.5,0,1,0,20.7599
Cow,12,32.04,7.2,4.6,0,0,1,25.2429
Rabbit,14,10.07,2.8,4.3,1,1,1,44.5312
Rabbit,8,23.42,1.6,2.9,0,0,0,3.9285
Rabbit,5,12.56,3.6,7.1,1,0,1,21.9217
Cat,13,6.26,2.6,7.0,0,1,1,10.718
Cow,4,34.58,6.5,3.6,1,0,0,65.3609
Rabbit,1,16.94,4.4,8.8,1,1,1,25.464
Cow,1,17.42,1.7,8.5,0,1,0,3.2054
Cat,14,30.95,5.7,8.4,1,1,1,23.6089
Rabbit,13,25.02,5.1,6.1,0,0,1,2.7216
Rabbit,5,28.98,6.4,5.3,0,1,1,9.1829
Rabbit,14,5.23,6.6,3.5,1,1,0,35.2422
Cat,7,12.4,2.8,2.1,1,0,1,19.9258
Cow,4,34.74,6.2,3.1,0,1,1,3.9498
Rabbit,13,45.04,9.8,8.3,0,1,1,16.2662
Dog,5,13.84,3.0,8.1,1,0,0,52.3915
Cow,8,47.89,5.4,2.0,0,1,1,2.8497
Cat,15,9.67,9.1,1.3,1,0,0,58.3404
Cat,2,32.14,3.0,2.3,1,0,0,91.2001
Dog,3,4.41,3.2,1.6,1,0,1,21.1813
Rabbit,2,43.26,6.5,2.0,1,1,1,0.7536
Cat,15,32.79,10.0,7.1,0,0,1,27.7156
Dog,9,15.09,9.9,7.5,1,1,1,38.8151
Cat,3,29.91,4.3,8.7,1,1,1,30.9114
Cow,15,3.79,8.0,7.4,0,0,0,38.4053
Cat,15,29.48,6.0,6.3,1,0,0,67.3832
Rabbit,8,1.13,7.3,3.1,1,1,1,28.2656
Rabbit,1,25.12,3.6,7.2,0,1,0,18.186
Rabbit,12,17.1,6.8,5.9,1,0,1,1.3317
Rabbit,4,13.91,3.8,8.9,0,1,0,0.1297
Dog,4,16.75,8.4,7.9,1,0,1,46.7682
Rabbit,2,34.84,5.6,3.9,1,1,1,6.7411
Cat,2,18.19,5.5,7.0,1,0,1,18.1858
Cow,14,24.72,1.3,3.0,1,1,0,12.9972
Dog,2,48.12,3.8,9.6,0,1,0,27.6745
Cat,9,34.06,1.6,8.7,0,1,1,19.5975
Rabbit,1,32.98,3.1,9.5,1,0,0,76.2673
Cow,6,13.3,7.8,5.8,0,1,1,44.3044
Cow,10,23.47,9.0,5.6,0,0,0,18.5893
Dog,2,10.91,4.7,3.9,0,1,1,47.6661
Cow,6,2.24,4.3,6.7,1,1,0,21.7452
Cow,10,10.05,2.2,6.5,1,0,0,88.8803
Dog,15,4.83,8.6,6.9,1,1,0,36.0511
Rabbit,4,25.81,4.8,8.2,1,1,0,15.3881
Rabbit,10,41.46,7.8,6.5,0,0,1,21.0489
Cat,4,45.68,7.4,8.5,1,1,0,42.2913
Cow,5,48.87,6.5,5.8,0,1,1,38.1149
Cow,9,3.52,8.2,7.7,1,0,1,25.6459
Dog,6,25.31,4.6,7.0,0,1,1,48.6586
Rabbit,7,34.61,7.4,9.6,1,0,0,82.4166
Rabbit,14,31.25,6.0,2.3,0,1,0,27.4159
Cow,2,12.85,9.5,4.3,1,1,1,22.9003
Cat,4,18.07,1.4,8.1,1,0,0,58.2422
Dog,7,44.25,6.4,1.0,1,0,0,78.7654
Cat,12,35.85,7.1,7.8,0,1,0,47.4242
Rabbit,4,1.11,5.4,2.9,0,0,0,27.7769
Cow,8,5.72,5.8,2.1,1,0,0,96.5402
Dog,12,30.14,5.9,6.8,1,1,1,28.7312
Rabbit,11,45.98,9.7,9.0,1,1,1,2.5029
Rabbit,2,19.52,7.9,1.5,0,0,1,22.8922
Cat,9,7.11,1.3,8.1,0,0,0,42.9498
Cat,2,11.18,1.1,4.5,0,0,0,41.4737
Cow,5,11.12,3.1,1.3,1,1,0,29.0778
Dog,15,38.56,7.1,1.6,0,0,0,7.2788
Cat,5,14.65,7.5,2.1,1,1,1,12.4688
Rabbit,7,42.85,6.8,4.5,1,0,0,79.0411
Cat,4,12.77,1.2,3.4,0,0,1,47.5728
Rabbit,2,9.68,1.2,2.1,0,1,0,36.7792
Cow,13,2.68,1.0,1.6,1,0,0,69.975
Cat,7,1.55,9.0,7.8,1,0,0,91.7062
Rabbit,1,23.02,1.1,9.0,0,1,1,32.138
Cat,1,42.41,3.5,2.7,1,1,1,22.8926
Cat,10,19.06,6.1,8.2,1,1,0,11.6165
Dog,1,22.56,6.9,8.4,1,1,1,32.3945
Cow,1,12.93,8.5,7.6,1,0,0,91.0064
Rabbit,12,30.76,6.1,3.9,0,0,0,24.7437
Cat,10,3.95,6.5,1.3,0,1,0,3.7365
Dog,14,35.9,6.8,6.8,0,1,0,7.2348
Dog,3,21.13,4.6,7.1,0,0,1,48.1156
Rabbit,9,20.62,3.0,9.3,0,0,0,48.2183
Rabbit,6,25.71,6.5,6.0,1,0,0,78.8256
Rabbit,12,18.58,1.1,8.2,1,1,1,24.4411
Dog,10,46.79,7.0,9.2,0,0,1,34.773
Cat,14,15.62,5.8,4.8,0,1,0,6.9463
Dog,11,34.51,2.4,4.7,1,1,1,46.783
Cat,14,21.5,7.7,8.7,1,0,1,42.8912
Dog,6,6.64,2.7,5.2,1,0,0,79.6225
Cat,9,40.27,4.3,5.6,1,0,0,58.3623
Cow,15,13.2,1.5,8.7,1,1,0,15.093
Rabbit,8,41.02,6.1,3.7,1,1,0,37.1681
Cat,4,16.67,3.4,2.8,1,1,0,46.4897
Cow,11,15.68,6.8,9.8,1,1,1,5.7917
Rabbit,6,16.18,3.4,8.5,1,1,1,47.7061
Dog,14,14.38,1.7,5.3,1,0,1,12.0433
Dog,11,49.48,3.1,6.2,0,0,1,8.5553
Dog,2,18.68,1.3,1.2,1,1,0,43.8784
Rabbit,4,12.98,8.9,9.5,1,0,1,45.5725
Cat,9,26.38,6.7,6.5,0,1,1,40.5429
Cat,15,9.0,7.8,9.1,0,0,0,9.596
Rabbit,5,12.46,1.5,8.6,1,1,0,15.2939
Rabbit,12,2.5,3.2,6.2,1,0,1,34.0415
Cat,2,29.2,3.3,3.6,1,1,1,31.3389
Cow,5,6.12,5.2,4.5,1,1,1,20.6161
Dog,3,48.02,6.3,2.3,0,1,0,30.744
Cat,7,20.73,9.9,3.5,1,1,1,31.2995
Dog,2,38.49,9.7,1.7,1,0,0,72.1149
Dog,13,7.02,6.5,6.8,1,0,0,61.2939
Dog,3,40.23,8.4,8.6,1,0,1,13.9345
Dog,2,19.79,9.7,4.2,1,1,1,31.7125
Cow,13,41.31,6.5,9.2,1,0,1,22.8569
Dog,3,5.07,6.6,3.8,0,0,1,11.6683
Rabbit,15,21.87,2.0,6.4,1,1,1,16.6185
Cat,3,3.81,5.5,5.0,0,1,1,38.827
Cow,14,15.68,8.8,8.9,0,1,1,37.8214
Rabbit,13,32.78,5.0,9.9,0,0,0,41.2767
Rabbit,9,45.85,2.5,5.4,0,1,0,10.8938
Rabbit,7,22.72,6.2,8.9,0,1,1,2.9598
Rabbit,8,41.19,1.4,9.6,1,1,0,41.1398
Rabbit,11,17.76,3.7,5.7,1,0,0,55.98
Rabbit,8,39.6,2.7,4.8,1,0,1,20.0188
Cow,11,32.37,8.1,8.5,1,1,0,40.8241
Rabbit,13,7.3,8.2,2.4,1,0,0,89.5917
Cow,8,33.46,2.2,2.9,1,0,1,42.4877
Dog,9,29.04,5.6,9.9,1,0,0,75.237
Cat,5,3.11,3.4,5.1,1,0,0,75.9877
Cat,11,4.88,6.6,2.7,1,1,0,19.1278
Dog,13,7.2,4.4,6.0,1,1,0,13.4698
Dog,10,7.62,8.8,7.5,1,1,1,24.3293
Cat,14,25.69,8.1,9.5,0,1,0,40.6812
Cat,14,1.42,8.2,6.0,0,1,1,32.2001
Cow,4,7.54,9.4,4.8,1,1,0,7.1377
Rabbit,8,20.7,4.9,1.1,1,0,1,23.3229
Dog,13,37.99,4.5,7.1,0,1,1,3.8098
Dog,4,39.1,4.1,4.3,0,0,0,18.6592
Rabbit,7,48.53,4.2,9.0,1,1,1,0.6618
Cow,2,45.77,8.2,3.9,1,1,1,19.9676
Rabbit,13,48.28,8.8,8.3,0,0,0,28.1536
Cat,1,24.87,3.4,8.4,1,1,1,26.5531
Cow,5,45.14,1.8,4.1,0,0,1,46.7741
Cat,5,29.5,2.6,8.6,0,1,1,47.6347
Dog,4,4.23,9.6,2.2,0,1,1,0.5898
Rabbit,13,8.54,5.6,3.6,0,1,0,42.2595
Cat,15,17.29,4.6,6.5,0,1,1,9.1673
Cow,12,3.02,6.4,6.6,0,1,0,34.7701
Cow,4,21.19,3.5,6.6,0,0,1,42.8521
Rabbit,8,27.73,1.7,4.3,0,0,1,25.5094
Cow,2,9.85,2.0,2.5,1,0,0,78.0591
Cow,11,42.17,3.5,6.8,0,0,1,30.7944
Cow,13,2.93,9.6,4.5,0,0,0,31.6614
Cat,7,49.87,3.9,2.7,0,0,1,20.3001
Cat,8,10.37,8.0,8.5,0,0,1,0.7849
Cow,7,49.87,1.5,6.6,0,1,1,18.0794
Dog,2,34.97,2.2,7.7,1,1,1,44.4786
Dog,12,16.69,9.9,7.5,0,0,0,24.7408
Rabbit,5,10.22,1.6,9.5,0,1,0,38.1774
Dog,11,6.96,5.8,2.4,1,0,1,28.0464
Cow,7,3.96,2.0,3.8,1,0,1,17.9311
Cat,2,37.92,8.9,4.1,0,1,1,23.4669
Rabbit,6,18.85,9.1,1.9,0,1,0,36.3153
Dog,8,24.3,3.8,6.7,1,0,0,57.3363
Rabbit,7,35.94,2.5,3.1,0,0,0,22.0722
Rabbit,12,26.18,2.0,4.9,1,0,0,92.6924
Cat,11,32.37,7.4,8.0,1,1,0,7.3331
Dog,5,9.23,4.9,6.2,0,0,1,3.3884
Cow,2,10.93,2.5,2.0,1,0,0,51.183
Cow,2,26.52,4.9,8.0,1,1,1,15.8603
Dog,1,33.61,9.1,1.9,0,0,0,13.6826
Rabbit,3,30.12,4.9,6.4,0,1,0,47.6939
Rabbit,11,36.66,4.4,1.7,1,0,1,10.0427
Cow,14,9.36,4.3,5.2,0,1,1,8.3271
Cow,13,11.97,3.6,6.8,1,1,1,15.4472
Cow,7,22.02,6.0,3.5,1,1,0,32.0287
Rabbit,5,11.34,5.9,7.6,0,1,0,41.4608
Cow,5,44.11,9.4,1.5,0,1,0,30.5197
Cow,13,13.11,3.8,7.2,1,0,1,19.4823
Cow,2,34.43,3.3,4.8,0,1,0,45.7639
Dog,15,34.59,5.3,9.8,1,0,0,93.5907
Cat,7,3.82,2.8,5.4,1,0,0,71.5204
Cat,5,26.89,4.8,3.5,0,0,1,31.947
Dog,5,22.01,7.0,5.2,1,1,0,21.8864
Dog,11,41.2,1.9,4.0,1,0,0,91.7948
Dog,11,15.61,5.6,5.8,0,1,1,41.5595
Cow,3,11.58,1.3,3.5,1,1,1,27.0548
Rabbit,6,24.65,6.1,2.1,0,0,1,44.3839
Rabbit,7,27.88,8.0,4.8,0,0,1,31.5713
Cat,2,8.28,5.5,9.9,1,0,0,53.0773
Dog,10,11.82,5.2,7.9,0,0,1,10.9987
Cow,1,34.27,8.3,1.5,1,0,0,78.8742
Cow,7,47.78,1.4,4.0,1,0,0,73.3487
Cow,3,29.0,1.1,4.2,0,0,0,38.3391
Cow,11,17.59,4.5,2.1,1,0,1,47.6975
Rabbit,6,32.96,8.6,3.9,1,0,0,51.6789
Rabbit,9,32.57,7.4,6.9,1,0,0,93.051
Dog,7,45.58,7.6,8.3,1,1,0,41.5839
Rabbit,1,9.54,5.0,9.0,1,1,1,15.9561
Dog,6,20.9,8.3,9.6,0,1,0,29.2089
Cow,14,22.58,4.4,7.5,1,0,0,94.5394
Rabbit,2,29.27,2.3,5.6,0,1,1,5.2175
Rabbit,12,35.06,4.4,9.8,0,0,1,19.1827
Rabbit,8,35.2,6.2,2.6,1,0,0,57.4595
Cat,8,45.54,1.7,2.3,0,0,1,16.755
Cat,3,31.67,6.1,3.7,1,1,1,25.1915
Rabbit,3,31.73,1.1,1.1,1,0,1,1.4501
Cow,12,24.37,5.3,3.2,1,1,0,6.7235
Dog,13,31.63,4.0,4.2,1,0,1,4.6959
Rabbit,15,38.16,1.0,6.8,0,1,1,18.5342
Cat,14,26.48,4.7,2.5,0,0,1,17.6386
Rabbit,15,37.06,5.8,6.2,1,1,0,28.6496
Cat,14,18.89,3.4,7.4,1,0,0,82.0648
Dog,3,16.03,5.2,4.2,1,0,1,17.8546
Dog,3,22.28,1.1,8.6,1,1,0,24.7062
Dog,12,44.86,4.7,2.1,1,0,0,55.0807
Cow,12,13.12,3.9,6.0,0,1,1,25.2678
Cat,6,22.34,3.4,1.9,1,1,1,2.1837
Dog,8,13.17,5.3,8.5,0,1,1,36.8843
Cat,2,17.16,9.4,9.4,1,1,1,12.9791
Cat,13,9.12,4.3,4.0,0,0,0,18.2014
Cow,13,18.26,6.1,7.4,0,1,1,10.4602
Dog,4,34.73,9.0,7.2,1,1,1,29.0753
Rabbit,13,31.2,9.3,5.4,0,0,1,5.9285
Cat,9,44.25,8.0,3.2,1,0,0,59.6846
Cow,9,27.14,7.5,7.6,0,1,0,41.7653
Cat,1,8.59,1.8,4.6,1,1,1,22.2305
Rabbit,5,34.03,5.9,5.8,0,1,1,26.9062
Rabbit,5,41.6,8.9,6.0,0,1,0,43.0046
Cat,7,46.76,7.4,7.6,0,0,1,5.1944
Rabbit,12,16.91,4.4,1.4,0,0,1,36.62
Cow,8,49.19,5.7,2.2,1,0,1,14.693
Cat,6,41.95,8.6,7.6,1,1,1,23.6465
Cow,15,42.88,2.3,2.8,0,0,0,11.7131
Dog,11,37.61,6.7,4.3,1,0,0,98.3921
Dog,13,17.45,9.3,8.9,0,1,0,22.0536
Cat,9,21.29,1.3,1.4,1,0,0,84.3372
Dog,11,40.61,6.2,6.7,1,0,0,78.6564
Cat,1,23.79,8.4,5.0,1,0,0,67.2808
Rabbit,3,21.46,4.9,8.6,0,0,0,38.1853
Dog,12,40.6,4.8,7.3,0,1,1,42.5335
Cow,15,21.52,3.6,2.6,0,0,0,39.9832
Rabbit,1,29.49,4.5,7.7,0,0,1,21.7316
Cat,7,45.93,1.7,3.6,0,1,0,22.8669
Rabbit,12,45.8,1.9,5.0,1,1,0,47.9224
Cat,7,35.63,2.6,6.1,0,0,0,47.5603
Rabbit,2,10.88,3.7,6.2,0,0,1,6.9108
Cat,1,43.24,1.3,2.2,1,0,1,31.5835
Dog,6,2.98,7.2,7.5,0,0,0,32.2994
Dog,3,2.26,6.7,9.3,0,0,0,36.7929
Cow,7,21.53,7.3,6.3,1,0,1,1.093
Dog,6,30.54,1.4,2.8,1,0,0,91.4406
Cat,14,13.26,4.9,9.0,1,0,0,78.0257
Cow,13,49.6,7.7,1.5,1,0,0,54.9363
Cow,3,30.49,8.3,6.7,1,1,1,5.2951
Rabbit,13,24.97,1.0,5.1,1,0,0,69.4782
Dog,1,11.74,9.8,5.3,0,0,0,6.9859
Rabbit,10,43.29,1.9,5.4,1,0,1,2.5145
Rabbit,11,45.76,8.0,4.7,0,1,1,21.8998
Cat,5,38.3,1.9,8.9,1,1,0,21.3147
Dog,7,25.19,4.5,4.2,0,1,1,36.0627
Cat,1,43.94,9.1,3.5,0,1,1,12.9857
Cat,13,9.75,1.0,7.2,0,1,0,46.6079
Rabbit,4,20.91,5.1,2.8,0,0,1,28.3827
Cat,13,8.5,4.5,2.2,0,1,1,19.6946
Cow,2,26.28,3.0,1.9,0,1,1,48.8873
Dog,14,30.42,9.0,3.7,1,1,0,2.7743
Rabbit,7,33.62,7.3,9.8,0,0,1,26.7224
Cat,4,30.68,3.3,8.1,1,0,0,52.4599
Rabbit,5,40.86,3.6,3.3,0,1,0,20.0851
Rabbit,9,42.32,9.6,6.4,1,0,1,31.0504
Dog,4,19.54,4.8,5.8,0,1,0,33.0044
Dog,8,4.67,1.5,6.8,0,1,1,21.232
Dog,10,34.19,4.9,7.3,0,0,0,48.3072
Cow,14,33.85,5.8,2.0,0,1,0,41.801
Cow,4,12.8,3.4,2.7,0,0,1,47.4957
Rabbit,5,46.24,8.7,8.7,0,1,0,29.7032
Cow,1,28.28,4.3,3.1,1,0,0,78.4012
Rabbit,12,44.87,6.1,5.9,0,0,0,12.539
Cat,2,18.51,4.5,6.3,1,0,1,29.1565
Rabbit,8,39.52,4.6,6.1,0,0,1,7.2197
Cow,8,22.28,4.6,5.1,0,1,1,35.0492
Rabbit,5,22.77,3.6,4.2,0,0,1,6.0565
Cat,15,13.46,7.2,2.5,0,0,1,4.6858
Dog,3,48.07,4.8,3.1,0,0,1,11.4704
Dog,11,39.43,4.0,7.7,0,1,0,0.3341
Rabbit,2,8.24,7.6,3.9,1,0,1,26.5781
Dog,11,18.77,4.1,8.5,1,0,1,14.3796
Dog,5,43.94,9.7,3.5,1,0,1,13.013
Dog,4,47.36,2.0,6.3,1,1,1,19.0787
Cat,6,44.06,7.7,3.8,0,1,0,40.5989
Cow,2,7.31,3.9,3.4,1,1,0,44.2306
Cat,15,39.68,2.0,5.2,1,0,0,76.9456
Dog,12,38.62,7.6,6.6,0,1,1,12.2074
Cow,4,7.59,9.6,2.3,1,1,1,15.9039
Cat,4,40.37,2.5,1.7,1,1,0,21.2304
Cat,4,40.36,9.0,9.9,0,1,0,25.1251
Cat,15,15.6,2.5,8.3,0,1,0,31.7448
Cat,5,40.2,3.6,5.2,0,0,1,31.0071
Rabbit,11,30.98,4.8,8.3,1,1,1,37.1065
Rabbit,8,17.59,10.0,1.2,0,0,0,26.5594
Dog,8,37.96,3.0,6.1,0,0,1,39.5014
Cat,10,36.03,9.6,4.5,1,1,1,45.7419
Cow,4,9.09,3.9,6.6,0,0,0,19.3109
Cat,15,23.86,8.3,5.4,0,0,0,48.3433
Rabbit,10,19.39,9.7,8.1,0,1,0,32.7524
Dog,6,23.07,7.9,9.9,1,0,0,82.1311
Cat,5,17.34,5.5,3.8,1,1,1,44.0152
Rabbit,10,40.42,6.7,3.1,1,1,1,14.243
Cow,12,21.93,9.4,4.7,0,1,1,24.1786
Dog,4,38.68,3.1,7.5,0,1,1,9.2975
Rabbit,4,25.58,7.5,2.4,0,0,1,22.4144
Cat,7,25.86,8.5,2.1,0,1,0,37.7446
Dog,1,21.98,4.0,9.6,1,1,1,43.4516
Cow,1,43.36,3.6,9.0,1,0,1,28.1462
Rabbit,11,30.36,2.6,3.9,0,0,1,42.7956
Cat,13,46.82,4.0,6.1,1,1,0,21.2521
Cat,3,47.35,3.2,1.3,1,1,0,2.7381
Cow,14,16.57,2.6,8.6,0,0,0,44.9284
Cat,15,45.03,2.5,4.9,1,0,1,35.5291
Cat,15,9.34,9.1,6.9,1,0,1,39.3323
Dog,15,41.98,5.2,6.7,1,1,0,6.8716
Rabbit,9,21.2,7.6,8.9,0,1,1,11.7754
Dog,4,34.25,4.9,2.8,1,1,0,28.9322
Rabbit,13,48.95,2.5,7.5,1,0,1,2.7782
Cow,1,25.79,8.1,6.6,1,0,1,13.3041
Cow,1,38.61,3.8,5.8,0,1,0,6.479
Cat,8,36.16,9.7,6.7,0,1,1,11.9655
Cow,2,36.34,9.9,5.7,1,1,1,15.0775
Rabbit,6,28.33,5.8,2.2,1,1,1,18.4105
Rabbit,3,43.55,1.2,4.7,0,0,1,11.0697
Cow,9,5.42,8.6,7.0,1,0,1,43.2559
Rabbit,2,30.9,3.1,1.2,0,1,0,16.8241
Cow,4,18.89,7.7,3.0,0,0,1,22.0713
Cat,1,8.13,8.5,9.6,1,1,0,32.9682
Cow,3,39.93,9.3,9.8,0,1,0,48.7307
Cow,12,6.87,6.7,3.2,1,0,1,35.1591
Cow,13,30.51,3.7,6.5,1,0,0,93.3677
Rabbit,9,28.58,2.6,6.5,0,1,1,21.5411
Dog,2,29.6,8.7,9.1,1,0,1,36.3145
Cow,1,43.7,5.3,6.0,0,0,1,37.0181
Cat,11,13.19,3.3,6.9,0,1,1,30.5826
Cow,13,11.26,8.3,3.9,0,0,1,42.9395
Dog,8,7.2,2.3,3.8,1,1,0,6.7644
Cow,5,8.3,3.1,8.0,0,1,0,35.1692
Dog,4,18.08,3.2,8.1,1,1,0,5.9
Dog,12,11.07,7.7,1.9,1,0,0,54.4046
Rabbit,7,21.28,1.0,6.7,0,0,0,20.8354
Cat,10,18.36,8.4,8.8,1,0,1,32.1291
Cow,14,5.82,2.0,6.6,1,0,0,55.2355
Cat,14,12.59,8.0,3.0,0,0,1,42.7331
Dog,12,43.85,3.0,4.6,0,1,1,17.4439
Rabbit,4,26.72,3.9,1.2,1,1,0,10.1872
Rabbit,2,47.2,2.8,2.3,1,1,1,45.7247
Rabbit,11,47.65,2.7,1.6,0,1,0,25.4454
Rabbit,6,22.52,2.7,4.9,1,1,0,45.4897
Dog,6,3.97,8.7,7.7,1,0,1,11.5314
Cat,10,6.91,1.8,8.7,0,0,1,44.3096
Dog,12,7.53,5.3,4.4,1,1,1,13.3377
Cow,9,36.04,1.1,3.8,1,0,0,97.0027
Rabbit,9,28.01,6.3,8.4,1,1,0,47.0
Rabbit,8,43.5,6.4,6.4,1,1,0,7.0779
Cat,5,2.81,3.0,8.1,0,1,0,38.0305
Cat,11,48.38,1.2,1.1,1,0,1,11.5846
Cat,9,15.93,7.0,6.7,0,1,0,19.9085
Cat,2,14.83,5.6,1.9,0,1,0,21.1263
Cow,15,4.36,6.2,7.4,0,0,0,18.2243
Dog,1,25.57,6.3,3.5,0,1,1,22.9205
Dog,8,37.79,9.6,6.7,0,0,1,41.6977
Cow,15,45.64,9.2,4.8,1,0,1,8.6973
Dog,9,5.04,5.9,3.2,0,1,0,2.0647
Cat,9,33.79,2.4,9.2,1,1,1,36.5349
Cow,3,26.37,2.8,2.4,1,1,1,39.348
Dog,15,39.54,1.8,5.5,1,1,0,28.0207
Rabbit,13,47.13,5.7,3.7,1,0,1,27.4166
Cow,15,26.54,3.2,9.7,1,0,1,30.8231
Rabbit,11,20.66,1.9,6.4,1,1,0,14.4671
Dog,3,19.55,8.3,9.8,0,1,0,10.126
Dog,8,22.73,9.2,6.3,0,1,0,2.2422
Cat,5,9.0,1.4,1.3,1,0,0,80.5566
Cow,1,6.51,4.2,1.3,0,1,1,15.3041
Dog,2,21.65,4.2,8.4,0,1,1,6.9918
Cow,9,10.87,7.2,5.0,1,0,1,48.5777
Cow,14,45.98,6.0,5.3,1,1,0,6.0201
Dog,11,4.33,6.4,4.5,1,0,0,62.1566
Cat,7,24.13,7.9,5.1,0,0,1,21.914
Cat,12,27.84,8.8,1.0,1,1,1,9.091
Rabbit,11,42.62,6.1,1.2,1,1,0,12.9406
Dog,5,24.27,4.5,8.8,1,0,1,9.6168
Dog,4,39.83,4.4,1.3,0,0,0,3.7582
Cat,1,31.88,4.0,8.6,1,1,0,14.2308
Dog,1,11.82,2.6,2.0,0,1,1,39.2021
Rabbit,13,23.24,2.0,4.7,0,0,1,8.6248
Cat,9,36.08,5.8,3.1,0,1,1,41.5564
Rabbit,6,42.24,8.4,6.6,1,1,1,17.9263
Dog,11,25.86,4.8,7.0,1,0,1,28.368
Cow,9,9.01,9.4,2.8,1,0,1,8.9979
Cat,3,26.57,2.2,9.8,1,0,1,2.2398
Cow,14,35.24,7.7,8.7,0,0,1,23.4587
Cat,9,36.4,2.2,9.3,0,1,1,11.6032
Dog,4,2.15,8.8,1.0,1,0,0,50.6977
Dog,6,35.74,9.9,8.2,0,1,1,30.8372
Cow,14,23.52,1.1,4.7,0,0,1,35.7408
Dog,1,31.6,1.4,4.3,1,0,0,65.5585
Dog,2,41.5,9.7,3.1,0,0,1,29.1956
Rabbit,3,26.95,1.6,8.5,0,0,1,2.5087
Rabbit,7,42.21,1.8,9.4,0,1,1,43.8589
Cat,4,27.13,7.8,7.0,1,0,1,22.63
Cow,11,14.63,2.9,1.4,1,1,1,8.5269
Cow,14,20.53,8.5,8.6,0,0,1,42.8317
Cow,2,7.09,3.6,5.5,1,1,1,34.2569
Rabbit,5,28.48,1.6,6.4,0,0,0,25.7068
Cow,4,13.48,3.4,3.3,0,1,0,35.7661
Rabbit,2,24.0,9.7,5.0,1,0,0,88.9398
Cat,7,16.02,3.1,10.0,0,0,0,22.0234
Cat,13,12.37,9.7,4.9,0,1,1,22.8004
Rabbit,14,19.17,4.5,4.8,1,0,1,5.3167
Cat,4,2.94,9.5,4.3,0,0,1,35.0615
Rabbit,2,49.6,2.1,9.8,0,0,1,21.8988
Dog,12,22.39,7.8,3.4,1,0,0,62.0291
